ParticipantID,SceneName,D0_Dis,D0_Den,D1_Dis,D1_Den,Dis(comparison),Den(comparison),Position,SelectedDoor,ReactTime
10,2Dis_den_V_5.6_7I5.6_3,5.6,7,5.6,3,4,1,1,1,1.839
10,5Dis_den_5.6_7I5.6_3,5.6,7,5.6,3,4,1,0,1,1.415
10,Dis_den_V_4.6_3I6_3,4.6,3,6,3,7,2,1,0,1.487
10,4Dis_den_5.6_7I5.6_3,5.6,7,5.6,3,4,1,0,1,1.395
10,Dis_den_V_5.6_7I6_3,5.6,7,6,3,5,1,1,1,1.674
10,2Dis_den_V_6_3I6_7,6,3,6,7,4,3,1,0,1.766
10,3Dis_den_V_5.6_7I4.6_3,5.6,7,4.6,3,2,1,1,1,1.462
10,2Dis_den_V_4.6_7I6_7,4.6,7,6,7,7,2,1,0,2.058
10,Dis_den_V_4.6_3I5.6_3,4.6,3,5.6,3,6,2,1,1,1.162
10,3Dis_den_4.6_7I5.6_3,4.6,7,5.6,3,6,1,0,1,1.884
10,2Dis_den_V_5.6_7I4.6_3,5.6,7,4.6,3,2,1,1,1,1.486
10,2Dis_den_V_5.6_7I6_3,5.6,7,6,3,5,1,1,1,1.262
10,Dis_den_4.6_3I5.6_3,4.6,3,5.6,3,6,2,0,1,1.528
10,3Dis_den_V_5.6_7I5.6_3,5.6,7,5.6,3,4,1,1,1,1.86
10,4Dis_den_V_5.6_7I4.6_3,5.6,7,4.6,3,2,1,1,1,1.352
10,3Dis_den_V_6_7I5.6_3,6,7,5.6,3,3,1,1,1,1.728
10,2Dis_den_4.6_3I5.6_3,4.6,3,5.6,3,6,2,0,0,1.224
10,4Dis_den_5.6_7I6_3,5.6,7,6,3,5,1,0,1,1.099
10,Dis_den_4.6_7I5.6_7,4.6,7,5.6,7,6,2,0,0,1.429
10,5Dis_den_V_6_3I6_7,6,3,6,7,4,3,1,0,1.703
10,3Dis_den_V_4.6_7I6_7,4.6,7,6,7,7,2,1,0,1.841
10,4Dis_den_6_3I6_7,6,3,6,7,4,3,0,0,1.653
10,Dis_den_V_4.6_7I6_3,4.6,7,6,3,7,1,1,1,1.184
10,3Dis_den_V_6_7I4.6_3,6,7,4.6,3,1,1,1,1,1.245
10,Dis_den_5.6_7I4.6_3,5.6,7,4.6,3,2,1,0,1,1.575
10,3Dis_den_6_3I6_7,6,3,6,7,4,3,0,0,1.158
10,4Dis_den_V_4.6_7I5.6_3,4.6,7,5.6,3,6,1,1,1,1.207
